created_at	comment_count	repost_count	text
2012-12-5 8:26:51	652	1766	【我国3G速率不足日韩十分之一】UMNet移动网络质量评估平台发布的“2012年10月份全国3G用户体验速率数据报告”显示，我国平均3G感知速率为52.51KB/s，其中，中国联通为55.04KB/s；中国电信为49.67KB/s；中国移动为28.26KB/s。而日本和韩国3G网络平均速率已达1400KB/s。http://t.cn/zjImnf3
2012-12-5 18:58:55	312	1004	【最便宜WP8手机来袭】诺基亚今日发布了Lumia 620手机，该手机采用3.8英寸800x480分辨率屏幕，采用1GHz双核处理器，配备500万像素摄像头，7种颜色可供选择。这款手机售价为249美元，约合人民币1550元，是目前最廉价的WP8智能手机。http://t.cn/zjM5l5c
2012-12-6 9:11:37	189	294	【诺基亚发售Lumia 920T 股价大涨13%】受诺基亚与中移动合作发售Lumia 920T智能手机和发布低价版Lumia 620手机消息的提振，诺基亚股价周三在纽交所大涨13%。920T是中国市场上首款支持TD-SCDMA网络的Windows Phone手机。今年年底，中国消费者将可以订购Lumia 920T，零售价4599元。http://t.cn/zjMjCTs
2012-12-6 12:00:25	112	339	【一张照片引发的杯具】在长达三周的东躲西藏后，涉嫌谋杀的McAfee创始人麦克菲在危地马拉被警方逮捕。警方是怎么找到他的？原来，麦克菲不久前接受了一家非主流杂志的采访，他的一张照片被发到了网上。警方在照片信息中发现了他的位置：北纬15°39’29.4”，西经88°59’31.8”……http://t.cn/zjM3rKS
2012-12-6 9:29:59	70	368	Lumia 920坚实的做工让人留下了良好的印象，几经微波炉、钉子、锤子等折磨之后，终于轮到了AK47步枪登场。从下边这段视频来看，Lumia 920很轻松就被子弹贯穿了。所以用户要牢记：机器再硬，也不能挡枪啊！http://t.cn/zjMHQwU http://t.cn/zjM8lAD
2012-12-6 7:34:09	149	238	【早间要闻回顾】诺基亚宣布与中国移动合作发售Lumia 920T后，双方承诺，将会让相互关注的TD手机和Lumia系列手机有全新的飞跃，与当初迟迟不开发TD-SCDMA版手机截然不同，眼下，诺基亚似乎与中国移动的关系急剧升温。http://t.cn/zjMYNWj
2012-12-6 6:52:33	139	226	诺基亚在巴黎LeWeb科技大会上宣布推出Lumia 620彩色智能手机，售价约249美元，其真正推销的是这款手机的彩色设计，提供多种基色，可换7种不同颜色外壳，旨在吸引年轻用户和开拓新市场。此外，受与中移动合作发售Lumia 920T和发布低价版Lumia 620消息提振，诺基亚股价周三大涨13%。http://t.cn/zjMjQa6
2012-12-6 7:54:55	119	209	【陌陌触顶求变】陌陌是2012年移动互联网市场的佼佼者，虽然尚未赚一分钱，但是估值已经达到一亿美金。不过，如同许多快速成长的移动APP一样，陌陌也开始面临瓶颈，日活跃用户数增长放缓。COO王力透露，下一个版本陌陌将抛开陌生人交友的概念，转型LBS社区。(张楠) http://t.cn/zjM0IqD
2012-12-4 20:43:47	442	1692	【诺基亚变卖总部大楼】诺基亚以2.2亿美元将位于芬兰的总部大楼出售，之后回租该总部办公。诺基亚CFO表示：“拥有不动产并非诺基亚核心业务，公司愿意放弃这些非核心资产。”今年第三财季，诺基亚运营亏损7.5亿美元，净营收为95亿美元。http://t.cn/zjIiRWC
2012-12-6 9:17:10	61	183	【苹果iPhone 5S首次曝光 传明年一季度出货】据外媒报道，零部件公司ETrade Supply上传了据称是下一代iPhone的手机照片，其背部螺丝与iPhone5的明显差异。据悉，苹果将在今年年底开始小规模试产iPhone 5S，数量大约在5-10万部左右，预计在明年第一季大规模出货。http://t.cn/zjMQjMc
2012-12-6 9:48:38	16	251	【Instagram与Twitter分道扬镳：从流量创收】Instagram宣布将禁止Twitter在其网站和应用上正常显示Instagram照片。一夜之间，二者从合作伙伴变成了竞争对手，这对曾经一条战线上的“兄弟”之所以反目，归根结底还是因为他们需要控制用户体验，从而从流量中创收。http://t.cn/zjM8igq
2012-12-6 5:33:31	72	205	【福布斯全球最具影响力人物李彦宏上榜】《福布斯》杂志网络版周三发布了“2012年全球最具影响力人物”榜单。科技领域中，盖茨位居第4，谷歌创始人布林和佩奇排名20，扎克伯格排名第25。李彦宏排名64，是中国大陆科技业唯一的上榜人士。此外，李嘉诚排名第31，郭台铭排在第55位。http://t.cn/zjMlf3v
2012-12-4 13:03:45	360	2695	【互联网女皇2012报告出炉】KPCB合伙人玛丽·米克发布2012年趋势报告称：1、移动设备占全球上网流量的13%，2010年同期仅为4%；2、2012年全球APP+移动广告营收预计为190亿美元，67%来自APP，33%来自广告；预计明年第二季，全球智能手机+平板保有量将超过PC。请猛戳(88张PPT图片)：http://t.cn/zjIAUZr
2012-12-5 18:41:55	106	399	《时代》杂志网络版今天公布了2012年十大科技产品，苹果iPhone 5荣登榜首，任天堂Wii U游戏主机和索尼RX100相机分列二三位。Lytro光场相机、Windows RT版Surface平板和三星Galaxy Note II也榜上有名。http://t.cn/zjM5yvT
